NodeID,t,solar_Production,SpatialUsage,GridPurchaseCost,InstallationCost,O&MCost,GridPurchaseQuantity,GridPercentage,RenewablePercentage,TotalCost,wind_Production,InventoryUsage,InventoryPercentage,SalvageCost
19,11,74101567.49352455,199709.5846587479,0.2906520791270911,5.859371151839817,0.1482126583596645,2821771.644018167,8.19350555470794,46.22615449113028,6.298235889326572,,30522329.60005747,88.62690134789922,
19,12,73723764.53097895,199721.777428048,0.28111897303913075,0.04590104260328184,0.14376627860887453,2813629.1473307097,8.169862397055795,46.200101375192105,0.4707862942512871,,30489229.425013874,88.53078922321455,
19,13,73345961.56843331,286191.0948992959,0.14046335528138296,2.6473357018546535,0.15315379489993236,1449332.399074538,4.2083891117161425,56.446118927542884,2.9409528520359687,5459451.614771992,30845704.02172147,89.56587531688471,
19,14,95980625.49025095,344266.01842494356,0.025257929747933786,6.528362774606073,0.16838721250016983,268677.30236818956,0.7801513542190562,57.39444017506651,6.722007916854176,5372100.38893564,45353073.12362514,131.69054886112022,
19,15,95487760.19328351,517597.78805959364,,6.332511891367891,0.18412598927263593,,,69.32533583496563,6.516637880640527,16203652.392643273,37816825.08192469,109.80773976768108,
20,15,285311008.4637448,771298.386375272,,6.332511891367892,0.30324185729769465,,,60.928854272662505,6.635753748665587,5284749.163099288,59922662.397939526,173.99588951544698,
20,11,88968173.10016352,227720.32477199065,0.3047811421355197,5.1265018842173244,0.16224232768762778,2958942.482339598,8.591804980571528,47.110119382694954,5.593525354040472,,23057464.133030683,66.95136399572158,
20,12,88516037.10958472,227727.95801971055,0.2947646005839677,0.05232583976242978,0.15737505785699893,2950203.833054354,8.566430789994813,47.08659987003519,0.5044654982033964,,22857682.804521494,66.37126410410312,
20,13,88063901.11900589,314507.9647391821,0.10485620319169568,4.894026068154341,0.16635431077061302,1081929.8188145272,3.1415717140163846,57.20214160061493,5.165236582116649,5459451.614771992,31908093.455415823,92.65070811853633,
20,14,161689723.81863445,485199.420366186,0.02158850528121365,6.528362774606074,0.220847775789201,229644.369867344,0.6668124347001106,59.331581794639895,6.7707990556764885,5372100.38893564,44725750.673871934,129.8690088412033,
21,11,88968173.10016352,228149.21471878025,0.21520370575416156,5.6219962894506725,0.16224232768762778,2089287.3583030265,6.0666098236284896,47.110119382694954,5.999442322892462,,35290677.287727945,102.47262956213285,
21,12,88516037.10958472,228161.2322601507,0.20768935525817742,0.04524137747993088,0.15737505785699893,2078695.7821711644,6.035855337150645,47.08659987003519,0.4103057905951072,,35504634.688410185,103.09389214894675,
21,13,88063901.11900589,228176.35603854287,0.20260799994532955,0.05522709926179919,0.15265380612128898,2090554.7788190825,6.070289999896641,47.06294592079107,0.4104889053284177,,35384027.763198145,102.74368893042765,
21,14,112304418.02516288,286345.5749407822,0.03958340434856603,6.222074947489925,0.16790222338488575,421062.3121157422,1.2226277773086482,48.167527434406566,6.429560575223376,,57169860.3380538,166.00264916359234,
21,15,136421471.66683614,516089.96874628344,,6.332511891367891,0.2013164833256197,,,65.94295326110955,6.533828374693511,10918903.229543984,63385654.72124954,184.05129102077476,
